time;codigoSerial;pm25;calidad_pm25;pm10;calidad_pm10;pm1;calidad_pm1;no;calidad_no;no2;calidad_no2;nox;calidad_nox;ozono;calidad_ozono;co;calidad_co;so2;calidad_so2;pst;calidad_pst;dviento_ssr;calidad_dviento_ssr;haire10_ssr;calidad_haire10_ssr;p_ssr;calidad_p_ssr;pliquida_ssr;calidad_pliquida_ssr;rglobal_ssr;calidad_rglobal_ssr;taire10_ssr;calidad_taire10_ssr;vviento_ssr;calidad_vviento_ssr
22/05/2021 8:00;38;12;1;39;1;-9999;1;-9999;1;-9999;1;-9999;1;3.8;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
22/05/2021 9:00;38;19;1;32;1;-9999;1;-9999;1;-9999;1;-9999;1;7.6;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
22/05/2021 10:00;38;19;1;39;1;-9999;1;-9999;1;-9999;1;-9999;1;15.8;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
22/05/2021 11:00;38;17;1;40;1;-9999;1;-9999;1;-9999;1;-9999;1;24.7;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
22/05/2021 12:00;38;25;1;45;1;-9999;1;-9999;1;-9999;1;-9999;1;41.5;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
22/05/2021 13:00;38;18;1;36;1;-9999;1;-9999;1;-9999;1;-9999;1;55.4;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
22/05/2021 14:00;38;21;1;35;1;-9999;1;-9999;1;-9999;1;-9999;1;73.4;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
22/05/2021 15:00;38;18;1;21;1;-9999;1;-9999;1;-9999;1;-9999;1;48.8;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
22/05/2021 16:00;38;6;1;20;1;-9999;1;-9999;1;-9999;1;-9999;1;29.8;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
22/05/2021 17:00;38;19;1;25;1;-9999;1;-9999;1;-9999;1;-9999;1;27;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
22/05/2021 18:00;38;19;1;14;2.6;-9999;1;-9999;1;-9999;1;-9999;1;20.4;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
22/05/2021 19:00;38;12;1;23;1;-9999;1;-9999;1;-9999;1;-9999;1;9.4;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
22/05/2021 20:00;38;12;1;20;1;-9999;1;-9999;1;-9999;1;-9999;1;10.2;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
